geoid,tract_name,year,pop_under_5,total_pop,pct_under_5
"23025966500","Census Tract 9665, Somerset County","2015",296,4748,"6.234203875315923"
"23025966600","Census Tract 9666, Somerset County","2015",324,4297,"7.54014428671166"
"23025966700","Census Tract 9667, Somerset County","2015",184,4223,"4.357092114610466"
"23025966800","Census Tract 9668, Somerset County","2015",383,6624,"5.782004830917875"
"23025966900","Census Tract 9669, Somerset County","2015",58,3335,"1.7391304347826086"
"23025967000","Census Tract 9670, Somerset County","2015",101,2291,"4.4085552160628545"
"23027046001","Census Tract 460.01, Waldo County","2015",115,2199,"5.2296498408367444"
"23027046002","Census Tract 460.02, Waldo County","2015",259,5302,"4.884949075820446"
"23029990000","Census Tract 9900, Washington County","2015",0,0,"0"
"23031006101","Census Tract 61.01, York County","2015",198,5085,"3.893805309734513"
"23031006102","Census Tract 61.02, York County","2015",81,3612,"2.2425249169435215"
"23031990100","Census Tract 9901, York County","2015",0,0,"0"
"23001010800","Census Tract 108, Androscoggin County","2015",106,3796,"2.792413066385669"
"23009965900","Census Tract 9659, Hancock County","2015",204,5296,"3.8519637462235647"
"23007971000","Census Tract 9710, Franklin County","2015",202,4246,"4.757418747056052"
"23007971100","Census Tract 9711, Franklin County","2015",202,2923,"6.910708176530961"
"23007971200","Census Tract 9712, Franklin County","2015",356,7594,"4.6879115090861205"
"23007971300","Census Tract 9713, Franklin County","2015",225,4028,"5.5858987090367425"
"23007971400","Census Tract 9714, Franklin County","2015",218,4812,"4.530340814630091"
"23009965503","Census Tract 9655.03, Hancock County","2015",189,3467,"5.451398903951543"
"23009965504","Census Tract 9655.04, Hancock County","2015",246,4383,"5.6125941136208075"
"23009966700","Census Tract 9667, Hancock County","2015",272,5625,"4.835555555555556"
"23009990000","Census Tract 9900, Hancock County","2015",0,0,"0"
"23017965500","Census Tract 9655, Oxford County","2015",70,2007,"3.487792725460887"
"23013971100","Census Tract 9711, Knox County","2015",77,1801,"4.2754025541365905"
"23015976200","Census Tract 9762, Lincoln County","2015",28,2485,"1.1267605633802817"
"23015990000","Census Tract 9900, Lincoln County","2015",0,0,"0"
"23013990000","Census Tract 9900, Knox County","2015",0,0,"0"
"23017965100","Census Tract 9651, Oxford County","2015",27,1128,"2.393617021276596"
"23017965400","Census Tract 9654, Oxford County","2015",188,3062,"6.139777922926192"
"23009966200","Census Tract 9662, Hancock County","2015",70,1994,"3.510531594784353"
"23009965800","Census Tract 9658, Hancock County","2015",125,2270,"5.506607929515418"
"23017966100","Census Tract 9661, Oxford County","2015",107,1974,"5.420466058763932"
"23017966200","Census Tract 9662, Oxford County","2015",226,5135,"4.401168451801364"
"23017966300","Census Tract 9663, Oxford County","2015",126,3667,"3.4360512680665396"
"23017966400","Census Tract 9664, Oxford County","2015",389,6438,"6.042249145697422"
"23017966500","Census Tract 9665, Oxford County","2015",356,4969,"7.164419400281746"
"23017966600","Census Tract 9666, Oxford County","2015",85,2998,"2.8352234823215476"
"23017966700","Census Tract 9667, Oxford County","2015",46,3406,"1.3505578391074575"
"23017966800","Census Tract 9668, Oxford County","2015",113,2461,"4.5916294189353914"
"23017966900","Census Tract 9669, Oxford County","2015",176,3515,"5.007112375533429"
"23021960301","Census Tract 9603.01, Piscataquis County","2015",89,1935,"4.599483204134367"
"23019031100","Census Tract 311, Penobscot County","2015",194,6649,"2.917731989772898"
"23019031200","Census Tract 312, Penobscot County","2015",276,4131,"6.681190994916484"
"23019031300","Census Tract 313, Penobscot County","2015",227,5663,"4.008476072752957"
"23019940000","Census Tract 9400, Penobscot County","2015",51,789,"6.4638783269961975"
"23021960302","Census Tract 9603.02, Piscataquis County","2015",0,562,"0"
"23023970301","Census Tract 9703.01, Sagadahoc County","2015",189,4593,"4.11495754408883"
"23023970100","Census Tract 9701, Sagadahoc County","2015",54,3388,"1.5938606847697756"
"23023970200","Census Tract 9702, Sagadahoc County","2015",226,5977,"3.781161117617534"
"23023970302","Census Tract 9703.02, Sagadahoc County","2015",180,4141,"4.346776141028736"
"23023970400","Census Tract 9704, Sagadahoc County","2015",231,4602,"5.019556714471968"
"23023970500","Census Tract 9705, Sagadahoc County","2015",288,5142,"5.600933488914819"
"23023970600","Census Tract 9706, Sagadahoc County","2015",369,3207,"11.506080449017773"
"23023970700","Census Tract 9707, Sagadahoc County","2015",167,4042,"4.1316180108857"
"23023990000","Census Tract 9900, Sagadahoc County","2015",0,0,"0"
"23025965301","Census Tract 9653.01, Somerset County","2015",58,921,"6.297502714440825"
"23025965302","Census Tract 9653.02, Somerset County","2015",35,1290,"2.7131782945736433"
"23001020500","Census Tract 205, Androscoggin County","2015",234,4174,"5.606133205558217"
"23001010500","Census Tract 105, Androscoggin County","2015",250,2082,"12.007684918347742"
"23001020400","Census Tract 204, Androscoggin County","2015",202,3027,"6.673273868516683"
"23001020800","Census Tract 208, Androscoggin County","2015",408,7520,"5.425531914893617"
"23001010400","Census Tract 104, Androscoggin County","2015",124,2405,"5.155925155925156"
"23001030200","Census Tract 302, Androscoggin County","2015",335,4510,"7.427937915742794"
"23001044000","Census Tract 440, Androscoggin County","2015",203,3149,"6.44649094950778"
"23001046000","Census Tract 460, Androscoggin County","2015",227,4349,"5.219590710508163"
"23001010600","Census Tract 106, Androscoggin County","2015",128,2853,"4.486505432877673"
"23001020100","Census Tract 201, Androscoggin County","2015",162,1303,"12.432847275518036"
"23001043000","Census Tract 430, Androscoggin County","2015",149,2028,"7.347140039447732"
"23001020900","Census Tract 209, Androscoggin County","2015",158,4663,"3.388376581599829"
"23009966000","Census Tract 9660, Hancock County","2015",89,2339,"3.8050448909790506"
"23009966100","Census Tract 9661, Hancock County","2015",62,1981,"3.1297324583543666"
"23009965300","Census Tract 9653, Hancock County","2015",342,4938,"6.925880923450791"
"23009966500","Census Tract 9665, Hancock County","2015",88,2886,"3.049203049203049"
"23009965200","Census Tract 9652, Hancock County","2015",67,2268,"2.954144620811287"
"23009965400","Census Tract 9654, Hancock County","2015",81,2703,"2.9966703662597114"
"23009966300","Census Tract 9663, Hancock County","2015",105,4178,"2.5131641933939686"
"23013970400","Census Tract 9704, Knox County","2015",225,7488,"3.0048076923076925"
"23013970500","Census Tract 9705, Knox County","2015",144,3343,"4.307508226144182"
"23013970800","Census Tract 9708, Knox County","2015",160,3087,"5.183025591188857"
"23013970200","Census Tract 9702, Knox County","2015",223,4844,"4.603633360858794"
"23013970600","Census Tract 9706, Knox County","2015",184,2776,"6.628242074927954"
"23013970700","Census Tract 9707, Knox County","2015",269,4457,"6.0354498541619925"
"23013970900","Census Tract 9709, Knox County","2015",55,2594,"2.120277563608327"
"23013971000","Census Tract 9710, Knox County","2015",119,2527,"4.7091412742382275"
"23025965600","Census Tract 9656, Somerset County","2015",54,2039,"2.64835703776361"
"23025965700","Census Tract 9657, Somerset County","2015",54,3095,"1.7447495961227786"
"23031005100","Census Tract 51, York County","2015",212,4839,"4.381070469105187"
"23031005200","Census Tract 52, York County","2015",194,4409,"4.400090723520073"
"23031005300","Census Tract 53, York County","2015",643,6924,"9.286539572501445"
"23031037000","Census Tract 370, York County","2015",283,6278,"4.507805033450143"
"23031005400","Census Tract 54, York County","2015",43,2702,"1.5914137675795705"
"23031025201","Census Tract 252.01, York County","2015",329,5052,"6.512272367379255"
"23031030203","Census Tract 302.03, York County","2015",294,4047,"7.264640474425501"
"23031031000","Census Tract 310, York County","2015",362,6094,"5.940269117164424"
"23031036002","Census Tract 360.02, York County","2015",241,5586,"4.314357321876119"
"23031023000","Census Tract 230, York County","2015",231,2916,"7.921810699588478"
"23031024500","Census Tract 245, York County","2015",239,6348,"3.764965343415249"
"23031025202","Census Tract 252.02, York County","2015",627,7445,"8.42175957018133"
"23029955500","Census Tract 9555, Washington County","2015",136,3038,"4.476629361421988"
"23029956100","Census Tract 9561, Washington County","2015",95,2591,"3.6665380162099575"
"23029955300","Census Tract 9553, Washington County","2015",63,1491,"4.225352112676056"
"23029955600","Census Tract 9556, Washington County","2015",156,2112,"7.386363636363637"
"23029956500","Census Tract 9565, Washington County","2015",224,3863,"5.798602122702563"
"23029955400","Census Tract 9554, Washington County","2015",73,1305,"5.593869731800766"
"23029956200","Census Tract 9562, Washington County","2015",124,2822,"4.394046775336641"
"23029956300","Census Tract 9563, Washington County","2015",108,2491,"4.335608189482135"
"23029955700","Census Tract 9557, Washington County","2015",51,1365,"3.7362637362637363"
"23029955900","Census Tract 9559, Washington County","2015",102,2607,"3.9125431530494823"
"23029955100","Census Tract 9551, Washington County","2015",136,2895,"4.6977547495682215"
"23029956400","Census Tract 9564, Washington County","2015",180,3119,"5.771080474511061"
"23005000100","Census Tract 1, Cumberland County","2015",87,2246,"3.8735529830810327"
"23005001000","Census Tract 10, Cumberland County","2015",72,2609,"2.7596780375622845"
"23005001300","Census Tract 13, Cumberland County","2015",152,3376,"4.502369668246446"
"23005002001","Census Tract 20.01, Cumberland County","2015",277,3652,"7.584884994523549"
"23005002502","Census Tract 25.02, Cumberland County","2015",318,7834,"4.059229001787082"
"23005003400","Census Tract 34, Cumberland County","2015",141,4476,"3.1501340482573728"
"23005003500","Census Tract 35, Cumberland County","2015",153,3857,"3.9668135856883584"
"23005004002","Census Tract 40.02, Cumberland County","2015",412,7825,"5.26517571884984"
"23005004600","Census Tract 46, Cumberland County","2015",116,3661,"3.1685331876536464"
"23005004802","Census Tract 48.02, Cumberland County","2015",216,4841,"4.461888039661227"
"23025965800","Census Tract 9658, Somerset County","2015",165,3009,"5.483549351944168"
"23025965900","Census Tract 9659, Somerset County","2015",83,1673,"4.961147638971906"
"23025966000","Census Tract 9660, Somerset County","2015",181,4143,"4.368814868452811"
"23025966100","Census Tract 9661, Somerset County","2015",208,3534,"5.885681946802491"
"23031030300","Census Tract 303, York County","2015",182,3434,"5.29994175888177"
"23031032000","Census Tract 320, York County","2015",481,7456,"6.45118025751073"
"23031033000","Census Tract 330, York County","2015",189,4613,"4.09711684370258"
"23031036001","Census Tract 360.01, York County","2015",129,7131,"1.8090029448885148"
"23031038002","Census Tract 380.02, York County","2015",76,3430,"2.2157434402332363"
"23031023500","Census Tract 235, York County","2015",371,6656,"5.573918269230769"
"23031030100","Census Tract 301, York County","2015",253,4297,"5.88782871771003"
"23031030201","Census Tract 302.01, York County","2015",208,3397,"6.123049749779217"
"23031034002","Census Tract 340.02, York County","2015",209,5247,"3.9832285115303985"
"23031035000","Census Tract 350, York County","2015",405,7312,"5.538840262582057"
"23031021000","Census Tract 210, York County","2015",192,4377,"4.386566141192598"
"23031022500","Census Tract 225, York County","2015",152,3030,"5.016501650165017"
"23031026000","Census Tract 260, York County","2015",212,4127,"5.136903319602617"
"23031028001","Census Tract 280.01, York County","2015",258,3422,"7.5394506136762125"
"23031030202","Census Tract 302.02, York County","2015",230,5689,"4.042889787308842"
"23031028002","Census Tract 280.02, York County","2015",267,7629,"3.4998033818324816"
"23031020000","Census Tract 200, York County","2015",352,8106,"4.342462373550457"
"23031034001","Census Tract 340.01, York County","2015",130,5959,"2.181574089612351"
"23031038001","Census Tract 380.01, York County","2015",366,6162,"5.939629990262902"
"23011011000","Census Tract 110, Kennebec County","2015",296,4260,"6.948356807511737"
"23011018000","Census Tract 180, Kennebec County","2015",347,4311,"8.049176525168173"
"23011010801","Census Tract 108.01, Kennebec County","2015",80,2565,"3.1189083820662766"
"23011010100","Census Tract 101, Kennebec County","2015",289,4995,"5.785785785785786"
"23011010200","Census Tract 102, Kennebec County","2015",226,3909,"5.781529803018675"
"23011017000","Census Tract 170, Kennebec County","2015",98,4232,"2.3156899810964084"
"23011023001","Census Tract 230.01, Kennebec County","2015",241,3838,"6.27931214174049"
"23011023002","Census Tract 230.02, Kennebec County","2015",155,3823,"4.054407533350771"
"23011024102","Census Tract 241.02, Kennebec County","2015",447,4841,"9.23362941541004"
"23011025000","Census Tract 250, Kennebec County","2015",171,6208,"2.7545103092783503"
"23011020000","Census Tract 200, Kennebec County","2015",228,4287,"5.318404478656403"
"23015975300","Census Tract 9753, Lincoln County","2015",146,3603,"4.05217873993894"
"23015975500","Census Tract 9755, Lincoln County","2015",219,6307,"3.472332329158078"
"23015975800","Census Tract 9758, Lincoln County","2015",178,3095,"5.751211631663974"
"23015975200","Census Tract 9752, Lincoln County","2015",342,5013,"6.822262118491921"
"23015975600","Census Tract 9756, Lincoln County","2015",126,3696,"3.4090909090909087"
"23015975700","Census Tract 9757, Lincoln County","2015",29,948,"3.059071729957806"
"23015975100","Census Tract 9751, Lincoln County","2015",244,5440,"4.485294117647059"
"23015975400","Census Tract 9754, Lincoln County","2015",132,3569,"3.6985149901933316"
"23027047000","Census Tract 470, Waldo County","2015",277,4509,"6.143269017520515"
